Value   Red   Green   Blue   
0   0.0000000000   0.0000000000   0.0000000000   
1   0.0000000000   0.0000000000   0.0000427350   
2   0.0000000000   0.0000000000   0.0001388889   
3   0.0000106838   0.0000106838   0.0003098291   
4   0.0000641026   0.0000854701   0.0011217949   
5   0.0002670940   0.0001709402   0.0031410256   
6   0.0008012820   0.0008974359   0.0067735039   
7   0.0024572648   0.0025427349   0.0100213660   
8   0.0041773497   0.0043162384   0.0117521331   
9   0.0064957242   0.0065170914   0.0121474295   
10   0.0078418757   0.0075961488   0.0118696487   
11   0.0081410185   0.0089743504   0.0105662279   
12   0.0077777687   0.0092734925   0.0102243449   
13   0.0065170845   0.0100640868   0.0097115222   
14   0.0064957152   0.0103845962   0.0094978447   
15   0.0061645174   0.0096367316   0.0092093811   
16   0.0058333199   0.0093589519   0.0090811739   
17   0.0052457130   0.0088995489   0.0092948461   
18   0.0053311816   0.0090811701   0.0100427048   
19   0.0054166500   0.0091452702   0.0093589437   
20   0.0054914347   0.0084508257   0.0095405646   
21   0.0051388705   0.0092948376   0.0096046646   
22   0.0059080970   0.0084187703   0.0096794481   
23   0.0059187792   0.0088995354   0.0095085062   
24   0.0055127965   0.0087926959   0.0094871363   
25   0.0055555299   0.0092200421   0.0091025203   
26   0.0055662122   0.0081837201   0.0092841410   
27   0.0057050990   0.0086751685   0.0090704647   
28   0.0054700561   0.0077991027   0.0089849928   
29   0.0052563807   0.0071580789   0.0087606330   
30   0.0049679196   0.0067948315   0.0091238767   
31   0.0053845827   0.0063674822   0.0096794267   
32   0.0052029587   0.0058867146   0.0089849846   
33   0.0047649261   0.0056837232   0.0092734422   
34   0.0050427011   0.0056516710   0.0090170318   
35   0.0042307398   0.0054059450   0.0088995094   
36   0.0043162084   0.0050854334   0.0094336917   
37   0.0035042477   0.0052670550   0.0091238631   
38   0.0038995432   0.0050533804   0.0094657391   
39   0.0036751852   0.0054807265   0.0092306963   
40   0.0033653579   0.0051708988   0.0088567659   
41   0.0031303164   0.0059294386   0.0096046213   
42   0.0032478362   0.0061537946   0.0094123133   
43   0.0029593765   0.0061431097   0.0098503418   
44   0.0031623656   0.0061324248   0.0099571765   
45   0.0030341610   0.0065277191   0.0097755522   
46   0.0029700584   0.0060683203   0.0102776822   
47   0.0028845885   0.0065384001   0.0104272514   
48   0.0026709147   0.0065704497   0.0104699838   
49   0.0028952709   0.0067627542   0.0115703980   
50   0.0026495463   0.0067841200   0.0109186926   
51   0.0030021062   0.0068268531   0.0101922020   
