Value   Red   Green   Blue   
0   0.0001282051   0.0000641026   0.0002991453   
1   0.0002243590   0.0001816239   0.0005876068   
2   0.0010149573   0.0015491453   0.0016025641   
3   0.0057158118   0.0078311962   0.0071047004   
4   0.0115384601   0.0152991422   0.0126923041   
5   0.0107905939   0.0139743510   0.0124893075   
6   0.0090598216   0.0111217841   0.0116239188   
7   0.0087072545   0.0104166529   0.0124358795   
8   0.0086324654   0.0092200703   0.0127350201   
9   0.0073290461   0.0077563950   0.0119337356   
10   0.0061752002   0.0061431485   0.0103525393   
11   0.0066345991   0.0063461378   0.0093589497   
12   0.0068589558   0.0063781874   0.0099145014   
13   0.0076922850   0.0074251913   0.0098397129   
14   0.0083653578   0.0087072364   0.0086751843   
15   0.0082157834   0.0082692012   0.0078311679   
16   0.0077777486   0.0086858641   0.0083760355   
17   0.0075640723   0.0092093640   0.0083546659   
18   0.0076068051   0.0094337195   0.0087499610   
19   0.0073397103   0.0093161961   0.0086538052   
20   0.0076281684   0.0093055099   0.0077670552   
21   0.0075747478   0.0087926895   0.0080234620   
22   0.0072756021   0.0095405464   0.0080448273   
23   0.0074251721   0.0091131959   0.0082478155   
24   0.0076067929   0.0084614879   0.0079379861   
25   0.0063354312   0.0079700358   0.0075747385   
26   0.0063781644   0.0078097785   0.0068482458   
27   0.0059401316   0.0066879894   0.0069871322   
28   0.0055555176   0.0065704674   0.0067414059   
29   0.0056944043   0.0069337114   0.0063140572   
30   0.0055982500   0.0066666179   0.0062499538   
31   0.0050320138   0.0060362794   0.0065490956   
32   0.0051495333   0.0060149109   0.0075640438   
33   0.0044016749   0.0055661954   0.0079486546   
34   0.0040277455   0.0050426943   0.0074999388   
35   0.0039422753   0.0042627853   0.0080554884   
36   0.0038247543   0.0046901314   0.0075854055   
37   0.0037820189   0.0038247534   0.0077777102   
38   0.0034294572   0.0034401408   0.0076815559   
39   0.0031516814   0.0037820175   0.0080447993   
40   0.0028845893   0.0030234768   0.0083653079   
41   0.0029700582   0.0031837313   0.0076067667   
42   0.0024892930   0.0029059556   0.0067841238   
43   0.0028418534   0.0030021082   0.0060790015   
44   0.0024465576   0.0029486895   0.0062178883   
45   0.0024679247   0.0028525362   0.0051495219   
46   0.0022328839   0.0030875763   0.0051815723   
47   0.0021260472   0.0040918394   0.0045726035   
48   0.0017093845   0.0047221743   0.0044443992   
49   0.0016666497   0.0048076430   0.0041452564   
50   0.0018055369   0.0043909801   0.0039529503   
51   0.0017628021   0.0039636337   0.0044123467   
52   0.0015170780   0.0044016628   0.0040704695   
53   0.0016239143   0.0039743165   0.0036858578   
54   0.0019230562   0.0042200399   0.0042200397   
55   0.0016666486   0.0041773049   0.0040491010   
56   0.0016880157   0.0041773044   0.0042948243   
57   0.0013995572   0.0043696095   0.0047542204   
58   0.0014636589   0.0050747294   0.0044871289   
59   0.0015170769   0.0053418197   0.0050213103   
60   0.0015384440   0.0045832808   0.0048183206   
61   0.0015170765   0.0051174621   0.0049892582   
62   0.0015491272   0.0046046469   0.0048076358   
63   0.0014636580   0.0041666174   0.0051708787   
64   0.0017521159   0.0044123405   0.0054272853   
65   0.0013995558   0.0039315765   0.0057264263   
66   0.0015811774   0.0039422597   0.0057905274   
67   0.0017093808   0.0034721795   0.0058759958   
68   0.0015918606   0.0032264557   0.0054379663   
69   0.0016239113   0.0035149132   0.0060682997   
70   0.0016559620   0.0036324327   0.0059080446   
71   0.0015918601   0.0033439744   0.0059721456   
72   0.0017521143   0.0033226068   0.0063781226   
73   0.0016132270   0.0038674711   0.0064208563   
74   0.0019230518   0.0032798715   0.0064101719   
75   0.0018803170   0.0032585038   0.0062499168   
76   0.0018268987   0.0035896956   0.0059828256   
77   0.0017307459   0.0033867064   0.0059614576   
78   0.0016452768   0.0037713162   0.0060789767   
79   0.0016345930   0.0039743044   0.0055554789   
80   0.0016559600   0.0035469594   0.0056836816   
81   0.0017734796   0.0038674673   0.0054806923   
82   0.0021367221   0.0038247324   0.0054272736   
83   0.0019230497   0.0042841271   0.0057691484   
84   0.0014957051   0.0046901037   0.0056409444   
85   0.0019016820   0.0056195768   0.0057370961   
86   0.0019230489   0.0055447908   0.0058332477   
87   0.0018803143   0.0056623096   0.0063674270   
88   0.0020192008   0.0058546137   0.0066986177   
89   0.0022435561   0.0056195736   0.0064208431   
90   0.0025213293   0.0059934986   0.0071366432   
91   0.0035362707   0.0063567400   0.0063246887   
92   0.0047541999   0.0062285357   0.0071259571   
93   0.0047862498   0.0060469134   0.0071259558   
94   0.0049251356   0.0059828107   0.0069229662   
95   0.0051281228   0.0063887859   0.0072007381   
96   0.0047435127   0.0062605816   0.0068909127   
97   0.0050106014   0.0062605804   0.0066879233   
98   0.0044871049   0.0061857941   0.0072007339   
99   0.0044657369   0.0063139960   0.0066238193   
100   0.0044016345   0.0062819440   0.0061430571   
101   0.0041345443   0.0061644235   0.0059400680   
102   0.0040490750   0.0074037171   0.0058439148   
103   0.0045084679   0.0070725249   0.0058011795   
104   0.0040811242   0.0068481686   0.0060362169   
105   0.0043268456   0.0068695346   0.0063674064   
106   0.0044657311   0.0065703934   0.0058225434   
107   0.0048717058   0.0071366211   0.0068267973   
108   0.0043909445   0.0067626951   0.0061644151   
109   0.0046366656   0.0067199595   0.0065597057   
110   0.0047221332   0.0073716553   0.0068908947   
111   0.0047648665   0.0075746414   0.0069763618   
112   0.0049571695   0.0071686648   0.0071686643   
113   0.0049251178   0.0073182331   0.0079699292   
114   0.0055020286   0.0066131173   0.0077669400   
115   0.0054592931   0.0071045591   0.0081088118   
116   0.0055233933   0.0074036968   0.0084720506   
117   0.0060362021   0.0074250622   0.0075212134   
118   0.0061857703   0.0075532629   0.0061003010   
119   0.0056622755   0.0079165015   0.0060575655   
120   0.0063353371   0.0082049553   0.0049037425   
121   0.0064742217   0.0079485487   0.0049251086   
122   0.0072327511   0.0083758883   0.0045298169   
123   0.0074357366   0.0083224688   0.0041024748   
124   0.0077776079   0.0073075320   0.0041772586   
125   0.0080767449   0.0079699090   0.0041986248   
126   0.0079378574   0.0080981096   0.0039635864   
127   0.0070297565   0.0089955234   0.0037926493   
128   0.0073075265   0.0081408401   0.0040597364   
129   0.0065703623   0.0076814473   0.0039635839   
130   0.0065383105   0.0067626637   0.0034721416   
131   0.0060148171   0.0063887396   0.0032050532   
132   0.0064635235   0.0064635231   0.0029593319   
133   0.0060041315   0.0060682322   0.0025533582   
134   0.0058225109   0.0059079786   0.0022114856   
135   0.0063139513   0.0054592705   0.0022328523   
136   0.0058545597   0.0057156738   0.0016559428   
137   0.0059079763   0.0060041275   0.0014850066   
138   0.0056408880   0.0055661031   0.0011645014   
139   0.0057904562   0.0057797723   0.0008439963   
140   0.0055340515   0.0061536939   0.0008867302   
141   0.0058545556   0.0054272154   0.0007264776   
142   0.0056195179   0.0051173934   0.0004700737   
143   0.0059613890   0.0041558785   0.0004914406   
144   0.0054272137   0.0037499054   0.0004487066   
145   0.0058759197   0.0028311248   0.0004700736   
146   0.0059186530   0.0025426704   0.0005128075   
147   0.0060575378   0.0025533536   0.0004593900   
148   0.0060575372   0.0021046469   0.0004487064   
149   0.0063139403   0.0013354357   0.0003846055   
150   0.0065703433   0.0015063714   0.0003952889   
151   0.0068587968   0.0009828805   0.0003311880   
152   0.0065596586   0.0005875916   0.0003846054   
153   0.0068267451   0.0003632384   0.0002991375   
154   0.0076600561   0.0004700732   0.0002991375   
155   0.0077241563   0.0002350366   0.0003311879   
156   0.0081408113   0.0004273392   0.0002991374   
157   0.0083651636   0.0003525548   0.0003098209   
158   0.0088245523   0.0003098208   0.0003205043   
159   0.0081301255   0.0004380225   0.0003739217   
160   0.0082049090   0.0003098208   0.0003632382   
161   0.0075532163   0.0003739216   0.0002670869   
162   0.0084933613   0.0003632381   0.0003311877   
163   0.0080232877   0.0002457199   0.0002777703   
164   0.0082369564   0.0003098207   0.0003418711   
165   0.0075532135   0.0002777702   0.0003739215   
166   0.0077134649   0.0004273388   0.0003632380   
167   0.0074784279   0.0003205041   0.0003632379   
168   0.0074784272   0.0003952883   0.0003525544   
169   0.0076707290   0.0004059717   0.0002991371   
170   0.0069228857   0.0003525544   0.0004273386   
171   0.0072220221   0.0005128063   0.0002777701   
172   0.0067733160   0.0004914393   0.0004700724   
173   0.0061643581   0.0003952881   0.0002670866   
174   0.0055660838   0.0003205039   0.0003418708   
175   0.0053310472   0.0002991369   0.0003952881   
176   0.0052669461   0.0002564031   0.0003952880   
177   0.0049037082   0.0003846046   0.0003846046   
178   0.0045404702   0.0003418707   0.0002670865   
179   0.0039315128   0.0004273384   0.0003205038   
180   0.0035682751   0.0003525541   0.0003525541   
181   0.0028738501   0.0004059714   0.0003739210   
182   0.0027242816   0.0003311872   0.0003098203   
183   0.0028311161   0.0004059714   0.0003739210   
184   0.0021473748   0.0004273383   0.0002991368   
185   0.0025212957   0.0005234894   0.0003311871   
186   0.0022542092   0.0006623743   0.0002350360   
187   0.0025640293   0.0004914390   0.0002991368   
188   0.0028097487   0.0007585253   0.0004059713   
189   0.0036216911   0.0006410073   0.0004593885   
